SK Hynix | 000660 | KRX
Rezidor Hotel Group AB | REZT | Nasdaq Stockholm
Sapa AB | SAPA | Nasdaq Stockholm
Accor SA | AC | Euronext Paris
Edenred SE | EDEN | Euronext Paris
Carrefour SA | CA | Euronext Paris
Yamaha Motor Co., Ltd. | 7272 | Tokyo Stock Exchange
Nomura Research Institute, Ltd. | 4307 | Tokyo Stock Exchange
Asahi Group Holdings, Ltd. | 2502 | Tokyo Stock Exchange
AXA SA | CS | Euronext Paris
Publicis Groupe | PUB | Euronext Paris
Golden Minerals Company | AUMN | AMEX
Westwater Resources, Inc. | WWR | AMEX
Türkiye Petrol Rafinerileri A.Ş. (Tupras) | TUPRS | BIST (Istanbul Stock Exchange)
Hapag-Lloyd AG | HLAG | Xetra
Tele2 AB | TEL2-B | Nasdaq Stockholm
Stadio Holdings Limited | SDO | JSE (Johannesburg Stock Exchange)
E.ON SE | EOAN | XETRA
Deutsche Bank AG | DBK | XETRA
Straumann Holding AG | STMN | SIX (Swiss)
FORVIA | EO | Euronext Paris
Alstom | ALO | Euronext Paris
Zodiac Aerospace | ZOD | Euronext Paris
